id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
10006433-clear_cut,78.0,100.0,72.0,Documentary,0
10006470,25.0,17.0,116.0,Drama,2
10006485-black_gold,84.0,84.0,77.0,Documentary,0
10006490,68.0,73.0,135.0,"Documentary, Music",1
10006491,93.0,100.0,70.0,Documentary,0
10006498,43.0,71.0,78.0,Documentary,2
10006537-grandmas_boy,73.0,80.0,60.0,Comedy,0
1000654-all_the_kings_men,78.0,97.0,109.0,Drama,0
10006569-love,50.0,100.0,93.0,"Mystery & thriller, Drama",0
10006588-street_fight,93.0,100.0,86.0,Documentary,0
10006621-10006621-puzzlehead,48.0,100.0,81.0,Sci-fi,0
10006630-life_of_reilly,83.0,98.0,90.0,Documentary,0
10006634-rank,74.0,57.0,85.0,Documentary,0
10006731-iowa,17.0,15.0,104.0,Drama,2
10006742-six_figures,55.0,83.0,108.0,"Drama, Mystery & thriller",0
10006752-feed,45.0,57.0,105.0,Mystery & thriller,2
10006780-lost_horizon,46.0,17.0,143.0,Musical,2
10006822-we_shall_overcome,82.0,88.0,105.0,Drama,0
10006828-klimt,29.0,32.0,95.0,"Biography, Drama",2
10006848-the_motel,64.0,88.0,76.0,"Comedy, Drama",0
10006849-once_in_a_lifetime,80.0,81.0,97.0,Documentary,0
10006856-requiem,66.0,86.0,92.0,Mystery & thriller,0
10006878-big_brown_eyes,57.0,86.0,77.0,Mystery & thriller,0
10006930-singer,53.0,94.0,112.0,"Romance, Drama, Musical",0
10006940-silk,57.0,40.0,117.0,"Horror, Mystery & thriller",2
10006950-the_violin,86.0,94.0,98.0,Drama,0
10006952-suburban_mayhem,58.0,20.0,89.0,"Comedy, Drama",2
10007139-park,48.0,36.0,86.0,Comedy,2
10007142-the_4th_dimension,31.0,63.0,82.0,"Drama, Fantasy, Mystery & thriller, Sci-fi",2
10007154-four_horsemen_of_the_apocalypse,75.0,80.0,132.0,War,1
10007169-pied_piper,79.0,100.0,86.0,Drama,0
10007305-close_to_home,63.0,69.0,98.0,Drama,0
10007311-mans_castle,75.0,71.0,70.0,Romance,0
10007322-little_man_what_now,77.0,100.0,91.0,Romance,0
10007333-bon_cop_bad_cop,82.0,80.0,116.0,"Comedy, Action",1
10007336-macbeth,35.0,49.0,109.0,"Drama, Mystery & thriller",2
10007351-hamilton,88.0,83.0,65.0,Drama,0
10007415-amazing_grace,85.0,67.0,116.0,"History, Drama",1
10007538-silence,39.0,50.0,104.0,"Crime, Drama, Mystery & thriller",2
10007598-cocaine_cowboys,79.0,69.0,116.0,"Documentary, Crime, Drama, History",1
10007614-gone,20.0,54.0,88.0,"Mystery & thriller, Horror, Drama",2
10007714-situation,58.0,35.0,106.0,"Drama, War",2
10007729-screamers,84.0,66.0,89.0,Documentary,0
10007784-living_the_dream,52.0,0.0,96.0,Drama,2
10007856-four_sheets_to_the_wind,60.0,100.0,81.0,Drama,0
10007886-the_tigers_tail,31.0,14.0,106.0,Drama,2
