id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
10003925-dead_end,60.0,75.0,83.0,"Horror, Mystery & thriller",0.0
10004050-bandwagon,91.0,80.0,103.0,"Comedy, Drama",0.0
10004069-whore,63.0,0.0,77.0,Drama,2.0
10004147-last_place_on_earth,60.0,,88.0,Drama,
10004207-grand_slam,29.0,,67.0,Comedy,
1000421-adventures_of_tom_sawyer,84.0,,93.0,Adventure,
10004248-revolution,72.0,,85.0,Comedy,
10004258-colors_straight_up,,,94.0,Documentary,
10004266-power,40.0,,109.0,Sci-fi,
10004275-army_of_one,40.0,88.0,70.0,Documentary,0.0
10004288-running_scared,79.0,41.0,121.0,"Crime, Drama, Mystery & thriller, Action",1.0
10004352-going_the_distance,61.0,0.0,93.0,Comedy,2.0
10004490-mourning_becomes_electra,45.0,67.0,173.0,Drama,1.0
10004504-ultraviolet,30.0,9.0,88.0,"Sci-fi, Action",2.0
10004593-decoy,54.0,,76.0,Mystery & thriller,
10004613-final_cut,94.0,,,,
10004617-letter,100.0,87.0,76.0,Documentary,0.0
10004628-convicted,57.0,,91.0,Drama,
10004635-home_of_the_brave,48.0,94.0,75.0,Documentary,0.0
10004656-brainstorm,42.0,,105.0,Mystery & thriller,
10004657-swimming_upstream,70.0,,100.0,Drama,
10004659-arthur,56.0,22.0,94.0,"Kids & family, Fantasy",2.0
1000466-after_midnight,28.0,,90.0,Horror,
10004673-christmas_holiday,50.0,78.0,92.0,Mystery & thriller,0.0
10004684-malevolence,82.0,35.0,90.0,Horror,0.0
10004689-staircase,33.0,40.0,100.0,Drama,2.0
10004697-eternal,40.0,18.0,108.0,"Horror, Mystery & thriller, Lgbtq+",2.0
10004723-dark_city,52.0,,88.0,Mystery & thriller,
10004734-casshern,69.0,70.0,136.0,Adventure,1.0
10004748-aftermath,75.0,,104.0,Drama,
1000478-aftershock,20.0,,90.0,Sci-fi,
10004804-guilty,40.0,,71.0,Mystery & thriller,
10004812-red_dust,72.0,,110.0,Drama,
10004835-farewell_to_arms,36.0,8.0,150.0,Romance,2.0
10004853-dil_ka_rishta,50.0,,149.0,Romance,
10004861-manhandled,40.0,,97.0,"Crime, Drama",
10004890-narrow_margin,88.0,100.0,71.0,"Crime, Drama",0.0
10004894-nightmare,45.0,,89.0,Mystery & thriller,
10004925-matador,66.0,75.0,97.0,"Comedy, Drama",0.0
10004942-letter,62.0,,62.0,Drama,
10005017-death_of_a_salesman,77.0,100.0,115.0,Drama,1.0
10005047-blue_bird,43.0,,99.0,"Fantasy, Adventure, Drama",
10005057-smile,66.0,15.0,107.0,Drama,2.0
10005061-home,85.0,100.0,97.0,Drama,0.0
10005104-intruder,73.0,91.0,130.0,Drama,1.0
10005164-yard_sale,,,102.0,"Romance, Comedy",
10005171-high_school_record,43.0,,90.0,Comedy,
10005178-saint_ralph,85.0,64.0,98.0,"Comedy, Drama",0.0
10005180-matando_cabos,75.0,53.0,,,
10005205-batman,60.0,,,,
10005206-cool!,,,,,
10005217-frozen,56.0,,90.0,Mystery & thriller,
